lengthscale l2regularizer rmse_mean
12.0 14.0 0.917940 0.917940 0.892617 0.893140 0.907908
12.0 15.0 0.917940 0.917940 0.892701 0.892930 0.911524
12.0 16.0 0.917940 0.917940 0.892959 0.892714 0.915171
12.0 17.0 0.917940 0.917940 0.892823 0.892662 0.919712
12.0 18.0 0.917940 0.917940 0.893140 0.892949 0.925782
12.0 19.0 0.917940 0.917940 0.893068 0.892940 0.932229
12.0 20.0 0.901480 0.901480 0.880182 0.879703 0.926186
13.0  1.0 0.901480 0.901480 0.893396 0.891461 0.888498
13.0  2.0 0.901480 0.901480 0.885545 0.884235 0.883524
13.0  3.0 0.917940 0.917940 0.895524 0.894153 0.895508
13.0  4.0 0.917940 0.917940 0.894509 0.893535 0.895494
13.0  5.0 0.917940 0.917940 0.893948 0.893212 0.895624
13.0  6.0 0.917940 0.917940 0.894139 0.893238 0.896405
13.0  7.0 0.917940 0.917940 0.893644 0.893143 0.896606
13.0  8.0 0.917940 0.917940 0.893395 0.893217 0.897280
13.0  9.0 0.917940 0.917940 0.893408 0.893165 0.898127
13.0 10.0 0.904425 0.904425 0.881898 0.881631 0.887806
13.0 11.0 0.901480 0.901480 0.880247 0.880145 0.888029
13.0 12.0 0.901480 0.901480 0.880234 0.880069 0.889878
13.0 13.0 0.917940 0.917940 0.892858 0.893107 0.905239
13.0 14.0 0.917940 0.917940 0.892686 0.893061 0.908098
