lengthscale l2regularizer rmse_bma_mean rmse_bma rmse_bae rmse_bne_vo rmse_bne_vs
16.0 5.0 0.9179398 0.9179398 0.89368594 0.89326686 0.89532614
16.0 4.0 0.9179398 0.9179398 0.8940325 0.8932021 0.894986
2.0 6.0 0.9014802 0.9014802 0.8946705 0.8922497 0.8933978
6.0 4.0 0.9014802 0.9014802 0.88620824 0.88465536 0.8846892
6.0 10.0 0.9014802 0.9014802 0.88132703 0.8804448 0.88654566
10.0 20.0 0.9014802 0.9014802 0.88023585 0.8794006 0.9263449
16.0 6.0 0.9179398 0.9179398 0.89356697 0.8933328 0.8960621
16.0 7.0 0.9179398 0.9179398 0.89341146 0.8931961 0.89646304
6.0 13.0 0.9014802 0.9014802 0.8806842 0.8805299 0.89190257
16.0 14.0 0.9179398 0.9179398 0.89267665 0.89307916 0.9077606
17.0 1.0 0.9179398 0.9179398 0.90159357 0.9000993 0.89290065
5.0 9.0 0.9014802 0.9014802 0.88232356 0.8811987 0.88635254
15.0 13.0 0.9179398 0.9179398 0.89281386 0.89311296 0.90540904
16.0 13.0 0.9179398 0.9179398 0.8929981 0.89308184 0.90534675
15.0 12.0 0.9179398 0.9179398 0.8930715 0.89291954 0.9029454
7.0 9.0 0.9014802 0.9014802 0.8814169 0.88046205 0.8853156
5.0 12.0 0.9014802 0.9014802 0.88126594 0.8805591 0.8900943
15.0 18.0 0.9179398 0.9179398 0.89301884 0.89305294 0.9254114
6.0 11.0 0.9014802 0.9014802 0.8809718 0.8803812 0.88786954
15.0 19.0 0.9179398 0.9179398 0.892856 0.89284307 0.9318609
15.0 14.0 0.9179398 0.9179398 0.8926426 0.89300025 0.9080036
15.0 15.0 0.9179398 0.9179398 0.8926424 0.89275473 0.91139203
15.0 16.0 0.9179398 0.9179398 0.89292526 0.89295447 0.9149395
15.0 17.0 0.9179398 0.9179398 0.8927841 0.8928591 0.9199998
7.0 5.0 0.9014802 0.9014802 0.88335687 0.88241273 0.88356715
15.0 20.0 0.9179398 0.9179398 0.89266396 0.89270306 0.94016665
6.0 2.0 0.9014802 0.9014802 0.8939743 0.8926501 0.88908875
6.0 12.0 0.9014802 0.9014802 0.8809594 0.8804308 0.8898926
6.0 15.0 0.9014802 0.9014802 0.8803619 0.8798609 0.8975934
5.0 14.0 0.9014802 0.9014802 0.8806637 0.88042957 0.8947896
16.0 17.0 0.9179398 0.9179398 0.8926939 0.8929059 0.9197017
16.0 15.0 0.9179398 0.9179398 0.8925989 0.89271575 0.9112937
16.0 18.0 0.9179398 0.9179398 0.8928422 0.8930403 0.9254757
