lengthscale l2regularizer bma_mean_rmse_mean bma_mean_rmse_median bma_mean_std bma_mean_cov nll_bma_mean_mean nll_bma_mean_median nll_bma_mean_std 
0.2 0.05 1.1412715 1.133294 0.42994565 0.9215686274509803 1.433629 1.1109948 0.6212298
0.05 1.45 1.3247267 1.4178047 0.74618614 0.8431372549019608 1.3768762 1.0349869 0.7415997
0.05 1.95 1.3158823 1.4302037 0.7318193 0.8823529411764706 1.4392029 1.0486834 0.8463709
0.15 1.7 1.2884392 1.2917993 0.503612 0.8627450980392157 1.467682 1.0511535 0.9772919
0.1 0.25 1.3536358 1.2614918 0.64699024 0.8431372549019608 1.6089883 1.1950593 1.0645914
0.15 1.95 1.28525 1.283516 0.5049991 0.8627450980392157 1.4767423 1.0494747 0.99704057
0.05 1.25 1.3068722 1.410856 0.7140787 0.8627450980392157 1.3906332 1.0220681 0.741396
0.05 0.05 1.2088016 1.257117 0.591021 0.8823529411764706 1.5434278 1.1714838 0.82117265
0.2 0.35 1.1388646 1.0416178 0.5105872 0.9215686274509803 1.3257298 1.0958848 0.5719379
0.15 1.55 1.266247 1.2935423 0.5005316 0.8627450980392157 1.4269098 1.0513992 0.89104146
0.05 1.6 1.3213111 1.4118366 0.732244 0.8627450980392157 1.3992702 1.0402856 0.77880067
0.05 1.15 1.3029934 1.3772058 0.745354 0.8823529411764706 1.3719765 1.0296298 0.7334736
0.05 1.7 1.3172182 1.4030397 0.7504912 0.8823529411764706 1.4005753 1.0399853 0.7589074
0.15 1.4 1.2746565 1.2681382 0.50413245 0.8627450980392157 1.3998786 1.0513167 0.8402795
0.2 0.25 1.0817312 1.0319507 0.473416 0.9019607843137255 1.3154513 1.0708774 0.61936754
0.2 0.1 1.1120402 1.0455037 0.4829226 0.9019607843137255 1.366889 1.0628026 0.5729392
0.1 0.1 1.2619851 1.2256855 0.64640623 0.8823529411764706 1.5192083 1.153924 0.8325752
0.05 1.3 1.3172799 1.3950229 0.744758 0.8627450980392157 1.3731409 1.0279598 0.750081
0.05 1.8 1.3204178 1.4202852 0.7503781 0.8823529411764706 1.4236828 1.047608 0.8214383
0.05 1.4 1.3308322 1.433429 0.7597554 0.8627450980392157 1.3933233 1.0315945 0.77416474
0.2 0.2 1.0963906 1.0484835 0.5026423 0.8823529411764706 1.299327 1.0859876 0.5575245
0.15 1.8 1.2902228 1.2960427 0.50214016 0.8627450980392157 1.4382342 1.0514634 0.9101971
0.1 0.75 1.3677608 1.2030534 0.603412 0.8627450980392157 1.5594019 1.1909494 0.91479796
0.2 0.4 1.1458482 1.1090912 0.52418965 0.9215686274509803 1.3457087 1.1147622 0.59053504
0.05 1.75 1.301113 1.3820674 0.7398317 0.8823529411764706 1.4003668 1.0474315 0.7846019
0.05 0.2 1.2921516 1.3231692 0.72106546 0.9019607843137255 1.4572544 1.1077819 0.747233
0.05 1.9 1.3109204 1.4071646 0.73221165 0.8823529411764706 1.4241222 1.0426847 0.82496285
0.15 1.6 1.2737879 1.2989037 0.49856693 0.8627450980392157 1.4630932 1.0538833 0.968301
0.1 1.4 1.4519132 1.2744838 0.6158384 0.8431372549019608 1.6589694 1.2511578 1.1137854
0.2 0.3 1.1126915 1.040629 0.488021 0.9215686274509803 1.3219513 1.0795882 0.58931744
0.1 0.9 1.4118513 1.2258012 0.6274052 0.8627450980392157 1.5828584 1.1943911 0.98247796
0.1 0.8 1.385952 1.2130456 0.6027777 0.8627450980392157 1.5720259 1.2140098 0.92776394
0.15 1.85 1.2816657 1.2840079 0.5153728 0.8627450980392157 1.4253634 1.0477996 0.8891386
0.15 1.9 1.2803451 1.2635739 0.5060859 0.8627450980392157 1.4319258 1.0511813 0.8976469
0.05 1.65 1.3108526 1.3923055 0.75537217 0.8823529411764706 1.4239855 1.045901 0.8308693
0.1 0.95 1.3722935 1.2182767 0.57479876 0.8431372549019608 1.623074 1.2047366 1.0516845
0.15 2.0 1.2922539 1.3015614 0.50419134 0.8627450980392157 1.480214 1.0483048 1.002587
0.05 0.25 1.2597791 1.2229447 0.71118015 0.8823529411764706 1.5431846 1.1028125 0.99834925
0.05 0.9 1.3184216 1.3481305 0.7286637 0.8627450980392157 1.3583223 1.0483215 0.68570375
0.1 1.6 1.4525741 1.3027062 0.59694535 0.8431372549019608 1.6588403 1.2472181 1.1094377
0.1 1.05 1.4066926 1.2097157 0.6231786 0.8431372549019608 1.6495204 1.2033228 1.1182132
0.1 1.55 1.4562262 1.291316 0.5956542 0.8431372549019608 1.6684103 1.2581222 1.112966
0.05 1.85 1.3114103 1.4049528 0.7298559 0.8823529411764706 1.4156199 1.0515027 0.8160691
0.1 0.55 1.3753562 1.1632862 0.6277634 0.8627450980392157 1.5496092 1.2041321 0.8864042
0.1 1.25 1.433451 1.258702 0.5780708 0.8431372549019608 1.6443577 1.2384129 1.0835823
0.15 1.3 1.272394 1.2661171 0.5211778 0.8627450980392157 1.4573469 1.0546097 0.9775193
0.1 1.65 1.4697171 1.3257 0.60037917 0.8431372549019608 1.6775694 1.2444664 1.1580251
0.1 1.15 1.4344817 1.2784986 0.57372075 0.8431372549019608 1.6301293 1.2525352 1.0572239
0.05 1.5 1.3131264 1.3909166 0.75026566 0.8823529411764706 1.3909975 1.043866 0.7730597
0.1 1.0 1.3972386 1.2234938 0.56341577 0.8431372549019608 1.6518468 1.2508646 1.0937614
0.1 1.2 1.4075755 1.2595496 0.57976323 0.8431372549019608 1.6319928 1.2476511 1.0768194
0.05 1.2 1.290647 1.3437617 0.7336422 0.8823529411764706 1.3757354 1.0213175 0.74484533
0.05 0.15 1.25599 1.2526997 0.69461393 0.9019607843137255 1.4868866 1.0990229 0.85914195
0.1 1.7 1.4585304 1.3222244 0.60020214 0.8431372549019608 1.6573986 1.2303038 1.1424145
0.05 0.4 1.2693179 1.28584 0.7059014 0.9019607843137255 1.3240935 1.0570935 0.61320347
0.1 0.65 1.3315929 1.190166 0.63844925 0.8627450980392157 1.5432444 1.1897714 0.91407216
0.05 0.6 1.284721 1.361669 0.70874065 0.8823529411764706 1.3534378 1.0772158 0.6039979
0.1 0.6 1.3832088 1.2100434 0.5774337 0.8627450980392157 1.5761175 1.203681 0.94297504
0.1 0.15 1.1971029 1.1931503 0.7019382 0.8823529411764706 1.4672197 1.1169941 0.85094976
0.1 0.7 1.384478 1.208312 0.6008459 0.8627450980392157 1.5700259 1.1840806 0.99116546
