lengthscale l2regularizer bma_mean_rmse_mean bma_mean_rmse_median bma_mean_std bma_mean_cov nll_bma_mean_mean nll_bma_mean_median nll_bma_mean_std 
0.025 1.15 1.2431422 1.1924965 0.606036 0.9019607843137255 1.466937 1.1683435 0.73324126
0.025 1.9 1.2422501 1.1621462 0.62656516 0.8431372549019608 1.4579293 1.1592209 0.7582094
0.025 1.65 1.2491413 1.1766734 0.6290328 0.8627450980392157 1.4558309 1.1669524 0.7278356
0.025 1.8 1.235123 1.1775777 0.6182341 0.8431372549019608 1.4526969 1.1589323 0.7607516
0.05 0.6 1.2784041 1.3635448 0.697069 0.8823529411764706 1.3525134 1.0786794 0.6046569
0.025 1.2 1.2665737 1.196128 0.6455109 0.8823529411764706 1.4487224 1.1685617 0.68817824
0.05 0.05 1.2064363 1.2642648 0.5828207 0.8823529411764706 1.5438877 1.1700679 0.8207299
0.025 1.1 1.2462996 1.167644 0.63983124 0.8823529411764706 1.4756284 1.167511 0.7624411
0.025 2.0 1.233923 1.1758031 0.61694735 0.8431372549019608 1.4456137 1.1449189 0.75630397
0.05 0.25 1.2542907 1.2056104 0.71334404 0.8823529411764706 1.5502772 1.1109506 0.9943516
0.05 0.2 1.2881618 1.3530166 0.6944003 0.9019607843137255 1.4666394 1.111986 0.7411204
0.05 0.15 1.2386651 1.2510681 0.6641642 0.9019607843137255 1.4918088 1.1023517 0.8561513
0.025 1.5 1.2555084 1.1746666 0.6406568 0.8627450980392157 1.4631344 1.1726377 0.7421006
0.05 1.05 1.2942549 1.3455936 0.71987474 0.8627450980392157 1.3462154 1.0184135 0.69156355
0.05 1.15 1.3029934 1.3772058 0.745354 0.8823529411764706 1.3719765 1.0296298 0.7334736
0.075 0.9 1.390808 1.3395424 0.63841033 0.8235294117647058 1.6581715 1.0612829 1.4036977
0.05 0.7 1.2702954 1.3481939 0.67158765 0.9019607843137255 1.3721561 1.0386578 0.6955181
0.05 1.5 1.3131264 1.3909166 0.75026566 0.8823529411764706 1.3909975 1.043866 0.7730597
0.05 1.35 1.3211658 1.4315968 0.7236954 0.8431372549019608 1.3642057 1.0282212 0.7178009
0.05 1.4 1.3308322 1.433429 0.7597554 0.8627450980392157 1.3933233 1.0315945 0.77416474
0.05 1.55 1.3165592 1.4161917 0.74492055 0.8627450980392157 1.3851461 1.0377465 0.7519545
0.05 1.45 1.3247267 1.4178047 0.74618614 0.8431372549019608 1.3768762 1.0349869 0.7415997
0.05 0.8 1.2780808 1.3297813 0.71389276 0.8823529411764706 1.349605 1.0205122 0.67209
0.05 1.3 1.3172276 1.4064579 0.73807216 0.8627450980392157 1.3744417 1.0318617 0.7494876
0.05 0.85 1.2956548 1.33951 0.71258473 0.8823529411764706 1.3776196 1.0268826 0.7390773
0.05 1.25 1.3362373 1.4099463 0.76350325 0.8627450980392157 1.3910865 1.0234277 0.7409898
0.05 1.6 1.3213111 1.4118366 0.732244 0.8627450980392157 1.3992702 1.0402856 0.77880067
0.05 2.0 1.328882 1.4224145 0.7450366 0.8823529411764706 1.4300833 1.0505282 0.84092575
