lengthscale l2regularizer rmse_mean rmse_median rmse_std pi_cov pi_sum
0.35 1.0 0.918635 0.7760999 0.42570323 0.9411764705882353 48
0.45 0.55 0.91887313 0.73837817 0.4853861 0.9607843137254902 49
0.4 0.4 0.9288621 0.81518584 0.42330736 0.9607843137254902 49
0.45 0.6 0.918682 0.7348956 0.4849084 0.9607843137254902 49
0.45 0.65 0.88597155 0.7316327 0.4440274 0.9607843137254902 49
0.45 0.75 0.8877846 0.7334809 0.4412639 0.9411764705882353 48
0.4 0.8 0.92339325 0.7947389 0.4261697 0.9607843137254902 49
0.4 0.5 0.92670393 0.81056464 0.42313826 0.9607843137254902 49
0.45 0.25 0.91656816 0.73843527 0.4862868 0.9607843137254902 49
0.45 0.8 0.9453701 0.7787417 0.47279102 0.9607843137254902 49
0.45 0.85 0.9150054 0.73056316 0.48715413 0.9607843137254902 49
0.45 0.9 0.9325876 0.7472673 0.47604352 0.9411764705882353 48
0.45 0.5 0.88794625 0.7404936 0.4425433 0.9607843137254902 49
0.45 0.7 0.8883872 0.7347793 0.44234627 0.9607843137254902 49
0.45 0.3 0.9177995 0.7396629 0.48617107 0.9607843137254902 49
0.35 0.7 0.9235326 0.79229033 0.42234018 0.9607843137254902 49
0.45 0.35 0.88920134 0.7415773 0.44197017 0.9607843137254902 49
0.45 0.4 0.9181616 0.73735017 0.48555008 0.9607843137254902 49
0.65 1.0 0.96875036 0.82561076 0.4745101 0.9215686274509803 47
0.8 0.9 0.9712493 0.8274809 0.4678699 0.9215686274509803 47
0.7 0.05 0.9589812 0.8271796 0.47742352 0.9215686274509803 47
0.8 1.0 0.9718577 0.82785434 0.46720648 0.9215686274509803 47
0.85 0.1 0.9661733 0.8260269 0.4715967 0.9215686274509803 47
0.85 0.05 0.96628106 0.8262305 0.4714636 0.9215686274509803 47
0.85 0.15 0.9662649 0.8261317 0.47151047 0.9215686274509803 47
0.8 0.8 0.97080517 0.8271238 0.46839836 0.9215686274509803 47
0.8 0.85 0.9689388 0.8273691 0.46986845 0.9215686274509803 47
