lengthscale l2regularizer bma_rmse_mean bma_rmse_median bma_std bma_cov nll_bma_mean nll_bma_median bae_rmse_mean bae_rmse_median bae_std bae_cov nll_bae_mean nll_bae_median
0.05 2.35 0.9027705 0.8479873 0.39318222 0.9215686274509803 1.0766243 0.92101383 1.0226246 1.0052421 0.47285685 1.0 1.0293806 0.9419291
0.05 4.2 0.90267634 0.84785104 0.39292184 0.9215686274509803 1.07688 0.92110145 1.0360454 1.020772 0.4827969 0.9803921568627451 1.0453547 0.9912722
0.05 4.25 0.90282613 0.84799516 0.39309824 0.9215686274509803 1.0764414 0.92112887 1.0346705 1.0202713 0.48239353 0.9803921568627451 1.0465096 0.9912008
0.05 4.1 0.9026806 0.84806085 0.39298683 0.9215686274509803 1.0769243 0.92109025 1.0325526 1.0143714 0.48442212 0.9803921568627451 1.0452945 0.9829249
0.05 4.15 0.9026678 0.8478527 0.39293113 0.9215686274509803 1.0768669 0.92109853 1.0339788 1.0142393 0.48244873 0.9803921568627451 1.0463754 0.98895
0.05 2.45 0.90286374 0.8480156 0.39310795 0.9215686274509803 1.0767758 0.9210055 1.028775 1.0134656 0.4736778 1.0 1.0379986 0.96839595
0.05 2.4 0.90276116 0.84795797 0.39318195 0.9215686274509803 1.0767561 0.9210223 1.0250094 1.0065606 0.47407982 1.0 1.0365964 0.9667898
0.05 2.75 0.90284115 0.8479967 0.39315382 0.9215686274509803 1.0767897 0.92102116 1.0410217 1.0211914 0.49706402 1.0 1.0330068 0.96149206
0.05 2.8 0.9029059 0.84792066 0.39304504 0.9215686274509803 1.0767659 0.9210229 1.0435262 1.0256624 0.49829075 1.0 1.0373951 0.96332324
0.05 1.85 0.902838 0.84783655 0.39318267 0.9215686274509803 1.0765657 0.92095876 1.0746568 1.0292954 0.47878283 1.0 1.0193266 0.92996347
0.05 2.65 0.9028403 0.84792525 0.39318502 0.9215686274509803 1.0767871 0.9210248 1.0266742 1.0104382 0.47235367 1.0 1.03364 0.954661
0.05 3.75 0.90289974 0.8481481 0.39287975 0.9215686274509803 1.0763215 0.9210589 1.0322481 1.0156767 0.4820952 0.9803921568627451 1.0481431 0.98084754
0.05 4.3 0.9028135 0.84797525 0.39303318 0.9215686274509803 1.0764054 0.9211619 1.032831 1.0202966 0.48114353 0.9803921568627451 1.0470307 0.9910177
0.05 3.9 0.9028104 0.84821224 0.3930306 0.9215686274509803 1.0763427 0.92107797 1.0298535 1.012573 0.4822129 0.9803921568627451 1.0487332 0.9861656
0.05 4.4 0.9029811 0.8480063 0.3933367 0.9215686274509803 1.0768423 0.92228925 1.0328999 1.0171026 0.47707862 0.9803921568627451 1.056132 0.9919183
0.05 2.9 0.90288156 0.84805024 0.39314568 0.9215686274509803 1.0762125 0.92104423 1.0370737 1.026936 0.49375686 0.9803921568627451 1.0407327 0.9642725
0.1 1.75 0.9028371 0.84783685 0.39318445 0.9215686274509803 1.0765597 0.92095673 1.4915967 1.3490055 0.5603298 0.9607843137254902 1.1337786 1.0710628
0.05 2.1 0.9028678 0.8479404 0.39313996 0.9215686274509803 1.0765826 0.92095894 1.063717 1.0251224 0.4930218 1.0 1.0257939 0.9438858
0.05 2.15 0.9028509 0.84794277 0.39315593 0.9215686274509803 1.0765916 0.9209602 1.0564876 1.0236002 0.49161503 1.0 1.0291771 0.95166695
0.05 3.8 0.90287185 0.8480916 0.39288455 0.9215686274509803 1.0762337 0.92106205 1.0318981 1.0128864 0.4826966 0.9803921568627451 1.0477499 0.98504704
0.05 3.85 0.90275735 0.8481306 0.3930622 0.9215686274509803 1.0763363 0.92105645 1.0342116 1.0127349 0.48375815 0.9803921568627451 1.0473795 0.98405427
0.05 3.95 0.9026849 0.8480272 0.39299813 0.9215686274509803 1.0767822 0.92108023 1.0304787 1.0124228 0.4821424 0.9803921568627451 1.0474432 0.98508084
0.05 5.0 0.9029873 0.84815854 0.39321712 0.9215686274509803 1.0769745 0.9222598 1.0311128 1.0188003 0.47163153 0.9803921568627451 1.0554584 0.9892056
0.1 2.0 0.9028599 0.8479403 0.39314532 0.9215686274509803 1.0765773 0.9209679 1.4063622 1.3424582 0.5420248 0.9803921568627451 1.0906116 1.0386045
0.05 4.0 0.90267605 0.8480046 0.39301533 0.9215686274509803 1.0768152 0.9210851 1.0345045 1.0142816 0.48251817 0.9803921568627451 1.0464507 0.98397505
0.1 0.55 0.90290016 0.8481971 0.39286968 0.9215686274509803 1.0761274 0.921057 2.6352687 2.6895766 1.1052092 0.8627450980392157 1.2391804 0.98376584
0.1 0.05 inf inf nan 1.0 nan nan 3.5028698 3.6830392 1.5219209 0.8823529411764706 1.3497607 1.0583832
0.05 4.5 0.90283746 0.84800684 0.3930563 0.9215686274509803 1.0764742 0.92115045 1.0318071 1.0148728 0.47483814 0.9803921568627451 1.0561682 0.99084187
0.1 0.4 0.9028857 0.84820557 0.39284402 0.9215686274509803 1.0761209 0.9210743 2.9518735 3.0398622 1.3748646 0.8627450980392157 1.2948112 1.0117447
0.1 0.35 0.9028807 0.8482052 0.39283738 0.9215686274509803 1.0761197 0.92107415 3.1010208 2.9356995 1.3902346 0.8627450980392157 1.3812574 1.1799034
0.05 4.8 0.90283483 0.8480329 0.39305544 0.9215686274509803 1.0764849 0.92110825 1.0318785 1.0184287 0.46857226 0.9803921568627451 1.0552925 0.9893087
0.05 4.9 0.9027812 0.8479526 0.3929658 0.9215686274509803 1.0764827 0.9211266 1.03159 1.016085 0.4683463 0.9803921568627451 1.053847 0.9895022
0.1 1.35 0.90283823 0.84789205 0.39313766 0.9215686274509803 1.076686 0.9209726 1.670979 1.4711623 0.59632057 0.9215686274509803 1.4034022 0.98362505
0.1 1.15 0.902827 0.847975 0.3928828 0.9215686274509803 1.0760922 0.9210466 1.8048439 1.7356101 0.61526215 0.9215686274509803 1.3760678 0.99857605
0.05 4.95 0.9029996 0.84817505 0.39321387 0.9215686274509803 1.0766073 0.9211074 1.0330775 1.0179874 0.4723706 0.9803921568627451 1.0567495 0.99416876
0.1 0.8 0.90290517 0.84821403 0.39286324 0.9215686274509803 1.0761205 0.9210494 2.2952688 2.1956995 0.89793617 0.8823529411764706 1.3621961 0.92953193
