lengthscale l2regularizer bma_mean_rmse_mean bma_mean_rmse_median bma_mean_std bma_mean_cov bma_rmse_mean bma_rmse_median bma_std bma_cov bae_rmse_mean bae_rmse_median bae_std bae_cov
0.05 0.85 1.196851 0.99491084 0.6597504 0.8823529411764706 1.1729125 0.9659926 0.66694915 0.8823529411764706 2.9503536 3.0350685 0.9484034 0.9019607843137255
0.05 0.2 1.1478962 1.0117371 0.6145671 0.8431372549019608 1.1202954 0.99103796 0.62163305 0.8627450980392157 2.3212488 2.3657758 0.7447937 0.9215686274509803
0.05 0.3 1.180567 0.9607531 0.7141833 0.8235294117647058 1.154122 0.939955 0.72169316 0.8627450980392157 2.7715688 2.8411598 0.9156822 0.9019607843137255
0.05 0.75 1.1739719 0.9612285 0.68724805 0.8431372549019608 1.1507001 0.94806564 0.6934771 0.9019607843137255 2.9506812 3.0597196 0.9056819 0.9019607843137255
0.1 0.1 1.0627232 0.963997 0.39794526 0.803921568627451 1.025995 0.92036533 0.40565282 0.8431372549019608 1.6597779 1.7397922 0.6253897 0.9411764705882353
0.15 0.3 0.97476166 0.8873513 0.45981985 0.8823529411764706 0.9579047 0.8636118 0.45414793 0.8627450980392157 2.2681203 2.2391577 0.8078786 0.9411764705882353
0.1 0.15 1.0886388 1.0006608 0.382529 0.8431372549019608 1.0576192 0.9435074 0.38979158 0.8823529411764706 1.773928 1.6924856 0.6535434 0.9411764705882353
0.1 0.2 1.0939579 0.955475 0.40238023 0.8431372549019608 1.0652065 0.93227947 0.40491998 0.8431372549019608 1.9897734 1.9209173 0.7572499 0.9411764705882353
0.1 0.25 1.1192627 1.0123522 0.37523112 0.8235294117647058 1.0932511 0.9714498 0.37628677 0.8627450980392157 2.2536914 2.257492 0.7595581 0.9411764705882353
0.1 0.35 1.1457857 0.9916667 0.42184937 0.8431372549019608 1.1224406 0.95520294 0.42188218 0.9019607843137255 2.5035293 2.8042085 0.917101 0.9215686274509803
0.1 0.3 1.1151366 0.97247946 0.44246826 0.8431372549019608 1.0911386 0.93197966 0.44347465 0.8431372549019608 2.3455057 2.235456 0.82806665 0.9215686274509803
0.1 0.75 1.1765901 1.083069 0.50033414 0.8823529411764706 1.1582584 1.0454433 0.49757946 0.9019607843137255 2.796949 3.0206447 0.92038935 0.9019607843137255
