lengthscale l2regularizer rmse_mean rmse_median rmse_std pi_cov pi_sum nll_mean nll_median nll_std
0.40 0.70 1.497739 1.591997 0.692399 0.901961 46 1.313922 1.278255 0.621915
0.40 0.75 1.590366 1.491450 0.813956 0.941176 48 1.320844 1.277477 0.595338
0.40 0.80 1.451422 1.482361 0.634738 0.921569 47 1.341608 1.267923 0.655460
0.40 0.85 1.619651 1.559964 0.811878 0.941176 48 1.287786 1.268342 0.581767
0.40 0.90 1.555418 1.526773 0.698684 0.921569 47 1.250239 1.237089 0.539905
0.40 0.95 1.514133 1.537805 0.697244 0.921569 47 1.283644 1.232283 0.594463
0.40 1.00 1.632964 1.587862 0.885437 0.921569 47 1.343920 1.259027 0.664402
0.45 0.05 1.291223 1.332598 0.590750 0.921569 47 1.192721 1.250562 0.336612
0.45 0.10 1.291527 1.314990 0.632188 0.921569 47 1.158226 1.218059 0.283443
0.45 0.15 1.276144 1.285703 0.608408 0.921569 47 1.136712 1.229316 0.264005
0.45 0.20 1.289339 1.370999 0.608977 0.921569 47 1.154145 1.188485 0.295375
0.45 0.25 1.304029 1.355093 0.614557 0.921569 47 1.192191 1.237559 0.335835
0.45 0.30 1.264801 1.326533 0.593604 0.921569 47 1.216743 1.265148 0.355047
0.45 0.35 1.242625 1.269446 0.591684 0.921569 47 1.189958 1.258753 0.322705
0.45 0.40 1.266652 1.325031 0.568067 0.921569 47 1.182791 1.227556 0.313757
0.45 0.45 1.256509 1.263236 0.583621 0.921569 47 1.182942 1.262509 0.315212
0.45 0.50 1.316403 1.398245 0.621996 0.901961 46 1.161525 1.184919 0.299049
0.45 0.55 1.221797 1.196145 0.588102 0.921569 47 1.153121 1.228247 0.277787
0.45 0.60 1.300249 1.347177 0.597658 0.901961 46 1.171654 1.222494 0.304499
0.45 0.65 1.284427 1.333165 0.606720 0.921569 47 1.172503 1.193693 0.317164
0.45 0.70 1.268582 1.181239 0.606931 0.921569 47 1.221955 1.255781 0.385869
0.45 0.75 1.268623 1.222573 0.611549 0.901961 46 1.177988 1.217208 0.309196
0.45 0.80 1.256897 1.273695 0.590723 0.921569 47 1.211868 1.258153 0.372758
0.45 0.85 1.289482 1.340109 0.629885 0.921569 47 1.163747 1.230082 0.294799
0.45 0.90 1.265754 1.239266 0.591692 0.921569 47 1.163287 1.243011 0.293562
0.45 0.95 1.248113 1.274890 0.598867 0.921569 47 1.165726 1.202878 0.298436
0.45 1.00 1.275201 1.284493 0.603646 0.921569 47 1.177526 1.208445 0.315663
0.50 0.05 1.113365 1.004808 0.557115 0.941176 48 1.075498 1.126567 0.183516
0.50 0.10 1.102882 1.017640 0.563270 0.941176 48 1.086438 1.140926 0.192819
0.50 0.15 1.110873 1.026952 0.564339 0.941176 48 1.045546 1.086415 0.158051
0.50 0.20 1.115545 1.025869 0.559152 0.941176 48 1.063067 1.083219 0.177296
0.50 0.25 1.113874 1.003622 0.561425 0.941176 48 1.058498 1.059827 0.180587
0.50 0.30 1.112140 1.033651 0.569212 0.941176 48 1.055826 1.099378 0.169621
0.50 0.35 1.106326 1.002308 0.563226 0.941176 48 1.059111 1.085665 0.174826
0.50 0.40 1.135474 1.086085 0.552916 0.941176 48 1.052167 1.087444 0.169825
0.50 0.45 1.118898 1.033425 0.563713 0.941176 48 1.068566 1.113570 0.183055
0.50 0.50 1.123299 1.062784 0.563495 0.941176 48 1.070274 1.108472 0.186342
0.50 0.55 1.132401 1.059915 0.572130 0.941176 48 1.024331 1.029323 0.155094
0.50 0.60 1.155795 1.072955 0.582217 0.941176 48 1.046245 1.087375 0.167551
0.50 0.65 1.119373 1.021233 0.572183 0.941176 48 1.088012 1.119945 0.201091
0.50 0.70 1.131025 1.049424 0.563917 0.941176 48 1.102673 1.110231 0.226969
0.50 0.75 1.133228 1.041855 0.567248 0.941176 48 1.042798 1.082224 0.158482
0.50 0.80 1.143642 1.124020 0.572545 0.960784 49 1.018481 1.059947 0.139802
0.50 0.85 1.108001 1.028757 0.559731 0.941176 48 1.076248 1.084432 0.189134
0.50 0.90 1.122073 1.098609 0.563532 0.941176 48 1.057389 1.060899 0.181778
0.50 0.95 1.114120 1.010207 0.561319 0.941176 48 1.041521 1.034657 0.169512
0.50 1.00 1.114415 0.999545 0.570477 0.941176 48 1.062483 1.107139 0.170090
0.55 0.05 1.088301 0.987819 0.553317 0.980392 50 0.997086 1.035470 0.139801
0.55 0.10 1.111108 0.990087 0.549058 0.980392 50 0.994465 1.008179 0.139706
0.55 0.15 1.096862 1.024870 0.575685 0.980392 50 1.008951 1.017144 0.139232
0.55 0.20 1.071348 0.926054 0.546639 0.960784 49 1.020783 1.037108 0.143958
0.55 0.25 1.066335 0.941597 0.559051 0.960784 49 1.026066 1.056730 0.148912
0.55 0.30 1.085698 1.009459 0.542766 0.960784 49 1.012775 1.059043 0.129155
0.55 0.35 1.059018 0.929364 0.554620 0.960784 49 1.023098 1.056587 0.141457
0.55 0.40 1.114607 1.030389 0.549011 0.980392 50 0.994398 1.015650 0.143148
0.55 0.45 1.105956 1.028011 0.545556 0.980392 50 0.990983 0.974722 0.134332
0.55 0.50 1.068037 0.953207 0.551830 0.960784 49 1.014154 1.044691 0.147703
