lengthscale l2regularizer rmse_mean rmse_std pi_cov pi_sum
0.205 0.45 2.37241 1.2767934 0.9215686274509803 47
0.21 0.9 2.785226 1.4337535 0.9215686274509803 47
0.21 0.6 2.586143 1.6484512 0.9215686274509803 47
0.21 0.3 2.3839076 1.6566601 0.9607843137254902 49
0.21 0.35 2.435694 1.8458467 0.9607843137254902 49
0.235 0.05 2.4563746 1.2515235 0.9607843137254902 49
0.175 0.75 2.676564 1.8131903 0.9803921568627451 50
0.22 0.05 2.0266943 1.3553398 0.9607843137254902 49
0.21 0.7 2.300015 1.2888814 0.9607843137254902 49
0.175 0.3 2.4705734 1.9744687 0.9803921568627451 50
0.215 0.25 2.2901843 1.5509467 0.9607843137254902 49
0.175 0.55 2.099581 1.3398666 0.9803921568627451 50
0.175 0.4 2.694881 1.651852 0.9607843137254902 49
0.215 0.8 2.4218001 1.6904811 0.9411764705882353 48
0.175 0.8 2.5512798 1.7071722 0.9607843137254902 49
0.175 0.5 2.5493596 1.7606668 0.9215686274509803 47
0.175 0.35 1.9703295 1.1194679 1.0 51
0.21 0.4 2.754829 1.5843161 0.9411764705882353 48
0.175 0.95 2.3705635 1.4286541 0.9803921568627451 50
0.215 1.0 2.270853 1.5871404 0.9215686274509803 47
0.175 0.65 3.0445669 2.1755524 0.9411764705882353 48
0.215 0.85 2.148707 1.0383084 0.9411764705882353 48
0.215 0.45 2.2010856 1.1953108 0.9411764705882353 48
0.22 0.15 2.3690953 1.2772789 0.9411764705882353 48
0.175 1.0 2.2432292 1.1899856 0.9607843137254902 49
0.215 0.55 2.6473444 1.1887996 0.9607843137254902 49
0.215 0.3 2.4489188 1.3372948 0.9215686274509803 47
0.225 0.4 2.1289601 1.3000573 0.9803921568627451 50
0.215 0.2 2.4165149 1.1968212 0.9607843137254902 49
0.175 0.2 2.5023742 1.1427598 0.9803921568627451 50
0.215 0.35 2.4766724 1.5237424 0.9803921568627451 50
0.15 0.3 2.9505398 1.9452207 0.9215686274509803 47
0.22 0.9 2.0613945 1.4110065 0.9607843137254902 49
0.215 0.05 2.2726114 1.6397283 0.9411764705882353 48
0.22 0.2 2.0041046 1.2964909 0.9607843137254902 49
0.215 0.15 2.2778811 1.5426437 0.9607843137254902 49
0.235 0.5 2.1592832 1.433843 0.9607843137254902 49
0.215 0.65 2.4603791 1.398126 0.9215686274509803 47
0.255 0.1 2.266662 1.2878665 0.9215686274509803 47
0.22 0.75 2.1942887 1.138754 0.9607843137254902 49
0.23 0.65 2.2342117 1.3018622 0.9411764705882353 48
0.215 0.1 2.4320593 1.1663988 0.9019607843137255 46
0.255 0.3 1.9624479 1.1713644 0.9019607843137255 46
0.225 0.05 2.303968 1.4988569 0.9215686274509803 47
0.22 0.8 2.32876 1.2716011 0.9411764705882353 48
0.23 0.25 2.0002847 1.2125168 0.9607843137254902 49
0.175 0.85 2.73201 1.3549781 0.9607843137254902 49
0.23 0.75 2.4184322 1.6096023 0.9215686274509803 47
0.235 0.7 2.0265841 1.4273522 0.9411764705882353 48
