lengthscale l2regularizer bne_rmse_mean bne_rmse_median bne_std bne_cov nll_bne_mean nll_bne_median
0.3 0.8 1.5472636 1.3788801 0.69363487 0.7647058823529411 1.9977823 1.5449535
0.3 4.0 1.0099301 0.8407271 0.34060854 0.9019607843137255 1.1748492 0.92435527
0.4 0.2 1.3950988 1.4515662 0.43856812 0.8823529411764706 1.1932361 1.0198339
0.2 5.0 1.2225362 1.0294404 0.46468437 0.9215686274509803 1.2440438 1.2233708
0.3 3.0 1.0679342 0.92990124 0.32082662 0.9215686274509803 1.2422705 0.9547633
0.4 0.7 1.2192307 1.2252889 0.2835882 0.9019607843137255 1.2667218 1.0199153
0.2 3.25 1.4206156 1.2254808 0.5884694 0.8431372549019608 1.464304 1.4056928
0.4 0.6 1.2831213 1.385088 0.2958221 0.8823529411764706 1.1883897 0.9927261
0.4 0.05 1.383093 1.3659148 0.42878443 0.8431372549019608 1.4389172 1.0775092
0.2 4.25 1.291442 1.0958979 0.50831246 0.9215686274509803 1.3138757 1.3011966
0.4 0.3 1.3524957 1.4048023 0.38401762 0.8823529411764706 1.1907253 0.981414
0.4 0.1 1.3483862 1.3552533 0.38490388 0.8823529411764706 1.3881928 1.0346558
0.4 0.4 1.3326215 1.4123464 0.37624416 0.9019607843137255 1.1502018 0.98190606
0.3 0.3 1.6982187 1.4661521 0.6746337 0.6862745098039216 3.1634057 1.5964617
0.3 1.2 1.4328645 1.3156409 0.5622381 0.8431372549019608 1.631587 1.392144
0.3 1.1 1.4556197 1.3054295 0.61128426 0.8627450980392157 1.6801466 1.4442014
0.4 0.5 1.2942315 1.2991652 0.34555548 0.8823529411764706 1.2077545 1.0246769
0.3 0.4 1.7470113 1.5767195 0.7015665 0.7058823529411765 3.1730874 1.7370061
0.3 0.2 1.7709004 1.5431833 0.6477681 0.6666666666666666 3.4275067 1.6504673
0.3 3.5 1.0340288 0.878662 0.3287442 0.9019607843137255 1.2124984 0.934759
0.3 1.3 1.3987128 1.258258 0.54022104 0.8431372549019608 1.604801 1.3211801
0.3 2.5 1.1257025 1.0126411 0.3104428 0.9019607843137255 1.328232 1.0028431
0.2 4.5 1.2691852 1.0746226 0.4947031 0.9215686274509803 1.2925898 1.2824306
0.3 0.1 1.7438349 1.5020113 0.67504996 0.6666666666666666 2.9432356 1.5757508
0.4 1.2 1.1468174 1.0522912 0.32850978 0.9019607843137255 1.2453032 1.0309942
0.3 1.4 1.3714715 1.2446423 0.502597 0.8431372549019608 1.568106 1.3067553
0.4 0.8 1.237861 1.2128792 0.2962019 0.9019607843137255 1.2623235 1.062525
0.4 1.4 1.1044637 0.96576566 0.34664297 0.9411764705882353 1.1941429 0.98823595
0.3 1.0 1.4934586 1.3531102 0.63584685 0.8627450980392157 1.7047638 1.4148566
0.3 0.7 1.602407 1.3914557 0.6889488 0.7254901960784313 2.7825193 1.6364908
0.4 1.7 1.0380014 0.8566581 0.37881204 0.9607843137254902 1.0909003 0.9245683
0.4 1.6 1.0612162 0.8916131 0.37558636 0.9607843137254902 1.1231449 0.9439587
0.4 1.0 1.1786457 1.139261 0.29298854 0.9215686274509803 1.2449472 1.0413103
0.4 1.5 1.0761486 0.9068582 0.3642054 0.9411764705882353 1.1587118 0.9614994
0.4 1.1 1.1489779 1.0541803 0.31438503 0.9215686274509803 1.2358333 1.0229588
0.2 4.75 1.2443041 1.0467227 0.47727004 0.9215686274509803 1.2730713 1.2412965
0.4 3.25 0.94924253 0.7501317 0.38402554 0.9411764705882353 1.0209951 0.9070618
0.4 3.0 0.95736605 0.75817406 0.383717 0.9411764705882353 1.0288818 0.9076201
0.4 2.75 0.96745247 0.7653221 0.38703465 0.9411764705882353 1.0305742 0.90546143
0.4 3.75 0.9376815 0.74234396 0.38458234 0.9411764705882353 1.0172569 0.91231596
0.4 1.9 1.0280137 0.8408935 0.3877087 0.9607843137254902 1.0734779 0.92343223
0.5 0.2 1.2407 1.1441832 0.48661864 0.9411764705882353 1.1211152 1.1401702
