lengthscale l2regularizer bma_mean_rmse_mean bma_mean_rmse_median bma_mean_std bma_mean_cov bma_rmse_mean bma_rmse_median bma_std bma_cov bae_rmse_mean bae_rmse_median bae_std bae_cov
0.1 0.5 1.3493085 1.1849917 0.6475565 0.8431372549019608 1.3418832 1.1820505 0.6531895 0.8431372549019608 3.047865 2.3833563 0.9983147 0.8431372549019608
0.05 0.35 1.3094524 1.3253431 0.7406546 0.8431372549019608 1.3032005 1.3169758 0.7495065 0.8627450980392157 2.740859 2.3228583 1.2225568 0.9019607843137255
0.05 0.75 1.2850343 1.3616947 0.6912429 0.8627450980392157 1.278061 1.3590045 0.69863755 0.8627450980392157 2.920643 2.4701767 1.2506746 0.9019607843137255
0.45 0.05 0.9204226 0.9136052 0.4306546 0.9411764705882353 0.91594106 0.90033376 0.44199845 0.9215686274509803 2.0116885 1.7721403 0.96777695 0.8627450980392157
0.05 0.15 1.25599 1.2526997 0.69461393 0.9019607843137255 1.2494069 1.2526015 0.7056809 0.9019607843137255 2.209082 1.6716797 0.93438727 0.9019607843137255
0.5 0.4 1.0797923 1.0545179 0.36841992 0.8823529411764706 1.0764596 1.0436028 0.37493527 0.8823529411764706 2.7889397 2.5408857 0.8801074 0.9019607843137255
0.1 0.85 1.3833176 1.2046843 0.5977741 0.8627450980392157 1.3760519 1.2010597 0.6025405 0.8627450980392157 3.1294441 2.6017046 0.89034134 0.8431372549019608
0.2 0.7 1.2165633 1.1227694 0.509761 0.9019607843137255 1.2095675 1.1154717 0.51646394 0.9019607843137255 2.827734 2.5512433 0.77727395 0.8627450980392157
0.2 0.85 1.2182512 1.1203008 0.50094175 0.9019607843137255 1.2113436 1.1128905 0.5073539 0.9019607843137255 2.947347 2.7636445 0.8199046 0.8431372549019608
0.25 0.15 1.08346 1.0055037 0.5295843 0.8823529411764706 1.0775069 0.9951599 0.5381736 0.9019607843137255 2.4510748 2.3261728 0.9064567 0.9019607843137255
0.25 0.2 1.0562357 1.0298069 0.46084753 0.8823529411764706 1.05027 1.0210242 0.47084543 0.8823529411764706 2.4763396 2.3304152 0.85531425 0.8823529411764706
0.45 0.1 0.9281215 0.87482685 0.4358624 0.9215686274509803 0.92260784 0.86168575 0.4463926 0.9411764705882353 2.102668 1.8880956 0.8662738 0.9019607843137255
0.5 0.45 1.0959939 1.0591569 0.35644358 0.8823529411764706 1.0925833 1.0477502 0.36426625 0.8823529411764706 2.729985 2.5485778 0.9367696 0.9215686274509803
0.25 0.1 1.0307403 1.0167141 0.39955005 0.9019607843137255 1.0259923 1.0081187 0.40852496 0.9019607843137255 2.1179292 1.9501963 0.7511731 0.8627450980392157
0.2 1.0 1.1425213 1.1119295 0.50661755 0.9215686274509803 1.1348714 1.10395 0.5132388 0.9215686274509803 2.8849247 2.5986133 0.8545994 0.8627450980392157
0.5 0.5 1.0919574 1.1080881 0.3895423 0.8823529411764706 1.0884227 1.097004 0.39610153 0.8823529411764706 2.908682 2.6428385 0.80350775 0.9215686274509803
0.4 0.25 1.0286995 1.0366666 0.34955105 0.9019607843137255 1.0246128 1.0306703 0.35766834 0.9019607843137255 2.4895728 2.257215 0.82445824 0.9215686274509803
0.1 0.9 1.4086787 1.2258012 0.6229776 0.8627450980392157 1.4010531 1.2280586 0.6281318 0.8627450980392157 3.1108696 2.706015 0.89377123 0.8235294117647058
0.45 0.8 1.1616437 1.1270276 0.33111897 0.8823529411764706 1.1565337 1.1242076 0.34089345 0.8823529411764706 2.9391642 2.6603456 0.7527218 0.9215686274509803
0.25 0.05 1.0935782 1.1283941 0.5075211 0.9019607843137255 1.0854723 1.1169331 0.51813257 0.9019607843137255 1.9413267 1.6571469 0.8220655 0.8823529411764706
0.25 0.3 1.132157 1.1089942 0.33443835 0.8823529411764706 1.1274983 1.1057997 0.34573597 0.8823529411764706 2.5380886 2.2701476 0.7761719 0.9019607843137255
0.4 0.3 1.1150318 1.0500134 0.31167275 0.8823529411764706 1.1103588 1.0409646 0.32197684 0.8823529411764706 2.5235093 2.325419 0.80769354 0.9411764705882353
0.2 0.9 1.217461 1.1148608 0.49057347 0.9019607843137255 1.210031 1.1066074 0.49672705 0.9019607843137255 2.8907578 2.5913076 0.877593 0.8431372549019608
0.5 0.35 1.0626203 1.0309868 0.34061047 0.8823529411764706 1.0594109 1.020278 0.34791988 0.8823529411764706 2.569022 2.3710556 0.9043049 0.9019607843137255
0.1 0.95 1.3941627 1.2182766 0.5977424 0.8431372549019608 1.3867475 1.220763 0.60285366 0.8431372549019608 3.075201 2.4771006 0.9513992 0.8431372549019608
0.25 0.25 1.0794026 1.0081439 0.40342683 0.8823529411764706 1.0735492 0.99795985 0.41307014 0.8823529411764706 2.5246446 2.3275878 0.8549508 0.9019607843137255
0.15 0.15 1.2367033 1.1445773 0.45937532 0.8823529411764706 1.2301232 1.1363282 0.46643513 0.8823529411764706 2.3252637 2.103017 0.8278636 0.8627450980392157
0.5 0.6 1.1317887 1.1297563 0.35646132 0.8823529411764706 1.1276498 1.1287217 0.365273 0.8823529411764706 2.9474745 2.671927 0.8800837 0.9019607843137255
0.45 1.0 1.175141 1.2011006 0.3263388 0.8823529411764706 1.1698273 1.1975334 0.33749586 0.8823529411764706 3.0195541 2.7507381 0.7443825 0.9215686274509803
0.15 0.05 1.2407486 1.2742196 0.5332569 0.9019607843137255 1.2329232 1.2766411 0.5412856 0.9215686274509803 1.9528455 1.8713797 0.65588236 0.8823529411764706
0.4 0.05 0.9392714 0.92158604 0.42378405 0.9411764705882353 0.9345805 0.9101737 0.43562245 0.9607843137254902 2.0379922 1.8139975 0.9270603 0.8431372549019608
0.55 0.25 1.0201842 1.0145091 0.3374283 0.8823529411764706 1.0167962 1.0046979 0.34773472 0.8823529411764706 2.394677 1.9347757 0.94911164 0.9019607843137255
0.2 0.95 1.1576657 1.1200366 0.4995478 0.9215686274509803 1.150495 1.1125263 0.5057294 0.9215686274509803 2.9330604 2.6810465 0.8712499 0.8823529411764706
0.45 0.85 1.154789 1.1488034 0.34060553 0.8823529411764706 1.1493077 1.1454251 0.35152063 0.8823529411764706 2.97597 2.789208 0.75642335 0.9215686274509803
0.1 1.0 1.3912414 1.2234936 0.56740946 0.8431372549019608 1.3835025 1.225137 0.57266116 0.8431372549019608 3.0775528 2.5534186 0.8623449 0.8431372549019608
0.1 0.15 1.2204489 1.240546 0.71273386 0.8823529411764706 1.2135723 1.2390535 0.72125286 0.8823529411764706 1.9937378 1.6183152 0.76642764 0.8823529411764706
0.45 0.3 1.018843 1.0371498 0.38535196 0.9019607843137255 1.0158117 1.0273706 0.3926462 0.9215686274509803 2.4414608 2.180669 0.9277895 0.9411764705882353
