lengthscale l2regularizer bae_rmse_mean bae_rmse_median bae_std bae_cov nll_bae_mean nll_bae_median
0.15 0.3 5.670216 4.6604776 3.26647 0.7843137254901961 3.5053737 1.379575
0.15 0.45 5.4303226 4.3701706 3.2908816 0.7843137254901961 3.4629972 1.2966914
0.15 0.65 4.6256223 3.7589774 2.8243992 0.7647058823529411 3.415924 1.277159
0.15 0.5 5.140232 4.2058644 2.9067502 0.7843137254901961 3.548392 1.2908795
0.15 1.0 3.599075 3.0012794 2.3311257 0.8235294117647058 3.0275605 1.1969309
0.15 0.55 5.1176 4.09877 3.068279 0.7843137254901961 3.4400463 1.3017275
0.15 0.7 4.455715 3.582083 2.6547253 0.7647058823529411 3.328388 1.2464511
0.15 0.35 5.636908 4.594495 3.2214296 0.7647058823529411 3.661871 1.3694015
0.1 4.9 1.3020434 1.1553771 0.48786187 0.9607843137254902 1.1744562 1.1293887
0.1 4.95 1.3087689 1.175442 0.48282993 0.9607843137254902 1.1899223 1.1476872
0.15 0.2 6.08874 4.970603 3.217313 0.8235294117647058 3.436181 1.3515987
0.15 0.25 5.917359 4.681909 3.3493109 0.7843137254901961 3.6258633 1.3559338
0.15 1.15 3.3296258 2.766078 2.2870324 0.803921568627451 3.0684469 1.1058606
0.15 1.1 3.3668175 2.7860398 2.1852903 0.8235294117647058 2.957404 1.1745371
0.15 2.45 2.003794 1.5715699 1.0262002 0.7450980392156863 2.3133295 1.0219676
0.15 1.3 3.0910218 2.5823538 2.0381446 0.8431372549019608 2.9621449 1.0547571
0.15 0.95 3.714161 3.080451 2.3485384 0.7843137254901961 3.0835743 1.1817584
0.15 1.05 3.5142298 2.91053 2.2841234 0.803921568627451 3.0320747 1.1569555
0.15 0.9 3.896886 3.190364 2.4855888 0.7647058823529411 3.2515135 1.2376444
0.15 1.5 2.757266 2.2937496 1.7962545 0.8431372549019608 2.7344844 1.02945
0.15 1.35 2.912818 2.399345 1.8991739 0.8627450980392157 2.792737 1.0695226
0.15 1.7 2.5233078 2.0793812 1.5558445 0.8235294117647058 2.5102198 0.97611296
0.15 1.65 2.5690367 2.1136386 1.6419395 0.8235294117647058 2.5839927 0.9672086
0.15 1.55 2.7020547 2.2381115 1.7474295 0.8431372549019608 2.650468 1.0172467
0.15 1.25 3.1169984 2.627633 2.0650918 0.8431372549019608 2.8135278 1.0618389
0.15 1.75 2.4404948 1.9776609 1.4985039 0.803921568627451 2.409714 0.9548406
0.15 1.95 2.334023 1.88924 1.3810974 0.7647058823529411 2.4623587 0.96600187
0.15 2.1 2.2124083 1.7961218 1.2475463 0.7647058823529411 2.4120502 0.9678478
0.15 1.4 2.8699303 2.3688028 1.8721923 0.8627450980392157 2.7142694 1.0382732
0.15 2.05 2.242222 1.8134718 1.2930262 0.7647058823529411 2.4086206 0.95332134
0.15 2.0 2.2697167 1.8461709 1.3277013 0.7647058823529411 2.399495 0.94965345
0.15 2.15 2.1828196 1.7693322 1.2202423 0.7647058823529411 2.4038994 0.971398
0.15 2.2 2.1641688 1.737891 1.2043625 0.7647058823529411 2.4215143 0.97888404
0.15 0.8 4.2473755 3.4483123 2.5972886 0.7843137254901961 3.2727203 1.2696292
0.15 2.25 2.1184418 1.7008681 1.1518866 0.7647058823529411 2.3733025 0.9778785
0.15 2.75 1.8936744 1.4737694 0.88936424 0.7450980392156863 2.355213 1.062563
0.15 1.8 2.4497426 2.0027719 1.5132176 0.7843137254901961 2.490451 0.9519098
0.15 2.35 2.0711224 1.6556666 1.0925657 0.7450980392156863 2.3576543 1.0071352
0.15 2.55 1.975603 1.5744712 0.97980505 0.7450980392156863 2.3787372 1.0336771
0.15 1.45 2.8222923 2.3210676 1.8374777 0.8627450980392157 2.7300947 1.0667402
0.15 2.5 1.977366 1.590426 0.9672887 0.7450980392156863 2.2660105 1.0150778
0.15 1.85 2.381803 1.9237008 1.4540471 0.803921568627451 2.4581916 0.94388974
0.15 1.9 2.3371258 1.8587942 1.4080424 0.7843137254901961 2.4020066 0.9541633
0.15 2.65 1.9238973 1.5262154 0.9156876 0.7450980392156863 2.3307762 1.0521722
0.15 3.0 1.8126907 1.4111855 0.8028909 0.7450980392156863 2.3156374 1.0970209
0.15 2.7 1.9114246 1.5057559 0.9060961 0.7450980392156863 2.3679812 1.0646803
0.15 3.45 1.6863457 1.3538152 0.6837552 0.7450980392156863 2.1180134 1.1515692
0.15 1.2 3.1910307 2.6525755 2.1296403 0.8431372549019608 2.8482854 1.1039274
0.15 3.55 1.6652302 1.343956 0.6666008 0.7843137254901961 2.0513425 1.1545994
0.15 1.6 2.6423821 2.1944485 1.687433 0.8431372549019608 2.625521 1.0058234
0.15 4.35 1.526482 1.2925066 0.58075076 0.8431372549019608 1.7143831 1.1942599
0.15 3.6 1.6473331 1.3232118 0.65799636 0.7843137254901961 2.008786 1.1614354
0.15 2.4 2.0533917 1.6162624 1.0800595 0.7450980392156863 2.4275188 1.0079575
0.15 3.5 1.6811023 1.3544877 0.67310894 0.7647058823529411 2.090697 1.1527339
0.15 2.6 1.9480861 1.5547683 0.9343559 0.7450980392156863 2.3605702 1.0441606
0.15 2.3 2.0901525 1.6744429 1.1110873 0.7647058823529411 2.356826 0.99620396
0.15 2.9 1.8412234 1.4411592 0.8231361 0.7450980392156863 2.310583 1.0821239
0.15 3.1 1.7718033 1.3996286 0.7531574 0.7450980392156863 2.223176 1.1101155
0.15 3.05 1.7855266 1.4072489 0.76844466 0.7450980392156863 2.248226 1.1113248
0.15 3.2 1.7534548 1.3905423 0.7368238 0.7450980392156863 2.253775 1.1267476
0.15 2.95 1.8376988 1.4262476 0.8241821 0.7450980392156863 2.3392992 1.0919296
0.15 3.25 1.735783 1.372683 0.7310499 0.7450980392156863 2.1661022 1.1213632
0.15 3.35 1.7015349 1.3672843 0.69204104 0.7647058823529411 2.1489427 1.137093
0.15 3.4 1.7051204 1.3647382 0.6920501 0.7450980392156863 2.141846 1.1509138
0.15 3.3 1.7151241 1.3697765 0.70244986 0.7647058823529411 2.1416695 1.1340133
0.15 2.8 1.8695855 1.4501371 0.8698714 0.7450980392156863 2.3264723 1.0661275
0.15 3.65 1.6444594 1.3335606 0.65061045 0.7843137254901961 2.0123808 1.1521685
0.15 3.15 1.7551073 1.362694 0.7550492 0.7450980392156863 2.1715343 1.1233401
0.15 2.85 1.8628507 1.4574668 0.8518357 0.7450980392156863 2.3113196 1.0735259
0.15 3.7 1.6414803 1.3407049 0.6437098 0.7843137254901961 2.0089118 1.1663094
0.15 3.8 1.608842 1.3188386 0.62710565 0.7843137254901961 1.928854 1.1717728
0.15 3.75 1.6242577 1.3369052 0.62875897 0.7843137254901961 1.9512252 1.1699827
0.15 4.05 1.5628232 1.3023059 0.60122836 0.803921568627451 1.7650309 1.1848605
0.15 3.85 1.6091901 1.3140645 0.62926894 0.803921568627451 1.9145932 1.1760474
0.15 4.0 1.5735179 1.314204 0.59887064 0.803921568627451 1.814463 1.1841124
0.15 3.9 1.5920057 1.3134345 0.6184961 0.803921568627451 1.8523527 1.1843451
0.15 3.95 1.5877185 1.3176745 0.6084727 0.7843137254901961 1.8808551 1.1768222
0.15 4.75 1.4579548 1.2636342 0.56089985 0.9019607843137255 1.5509071 1.1923785
0.15 4.5 1.4984689 1.2853724 0.5664808 0.8627450980392157 1.6521412 1.1946967
0.15 4.1 1.5617307 1.3075175 0.5958099 0.803921568627451 1.8164741 1.1858125
0.15 4.65 1.4712228 1.2695372 0.5615701 0.9019607843137255 1.575902 1.1977575
0.2 0.15 5.5485883 3.6627378 5.1021996 0.7450980392156863 3.0496054 1.577661
0.2 0.1 5.8224754 3.78438 5.359105 0.7058823529411765 3.531626 1.5312895
0.15 4.8 1.4567124 1.2634726 0.5610316 0.9019607843137255 1.5478996 1.1911508
0.15 4.15 1.5511785 1.301174 0.5910184 0.8235294117647058 1.7758363 1.1849614
0.2 0.55 4.4590716 2.989983 3.7071948 0.7254901960784313 2.7930603 1.681179
0.15 4.2 1.5394201 1.2969931 0.5853699 0.8235294117647058 1.7434468 1.1923153
0.2 0.3 5.2991223 3.4388607 4.7311726 0.7058823529411765 3.2186623 1.5899293
0.2 0.25 5.453636 3.5392656 4.9627266 0.7058823529411765 3.3707962 1.5884808
0.2 1.95 2.0876858 1.8421042 0.6004414 0.7450980392156863 2.7498667 1.3534799
0.2 0.6 4.313949 2.9534378 3.5296156 0.7058823529411765 3.0020523 1.8989913
0.15 4.55 1.4845785 1.2751542 0.5686761 0.9019607843137255 1.6040243 1.1933093
0.15 4.6 1.4792436 1.2714359 0.56407934 0.8823529411764706 1.6036607 1.1915662
0.2 0.85 3.4953613 2.512395 2.2770092 0.7254901960784313 2.875026 1.9608278
0.2 0.4 4.7860546 3.2588603 4.181772 0.7058823529411765 3.2016938 1.671922
0.15 4.7 1.4707638 1.2747535 0.5640453 0.9019607843137255 1.5867591 1.1947168
0.2 1.05 3.0444458 2.344462 1.6025631 0.7058823529411765 3.0697508 1.726486
0.15 4.95 1.4380494 1.2602417 0.5587801 0.9019607843137255 1.5090384 1.1885641
0.2 0.75 3.7481997 2.6244187 2.6669414 0.7254901960784313 2.9023397 2.1598272
