lengthscale l2regularizer bne_rmse_mean bne_rmse_median bne_std bne_cov nll_bne_mean nll_bne_median
0.4 0.2 10.291356 1.0953597 20.718298 0.7450980392156863 3.0861082 1.1068661
0.3 0.6 12.804631 1.3626206 25.815594 0.7058823529411765 4.045456 0.9790171
0.3 1.6 3.931393 1.2033995 6.257395 0.8235294117647058 1.3908602 0.9849766
0.4 1.2 5.064681 0.94110435 9.16572 0.7647058823529411 2.3506038 1.0223968
0.4 0.9 6.5132465 1.0082599 12.342355 0.7647058823529411 2.7332962 1.0762696
0.3 1.5 3.2895691 1.2039928 4.780569 0.9411764705882353 1.1451243 0.8977592
0.3 0.3 10.401486 1.1852365 20.718864 0.7254901960784313 4.2147346 1.0521383
0.4 1.1 7.1762347 0.82429886 14.027962 0.8823529411764706 1.3095869 1.0489976
0.3 0.4 8.280383 1.1816163 15.9935465 0.7058823529411765 3.7187374 1.0153927
0.4 0.4 15.0322 0.88534874 31.479815 0.7647058823529411 1.7555027 1.1597502
0.3 0.1 8.12585 1.0974989 15.721734 0.7450980392156863 2.7409012 0.99390656
0.4 1.0 4.9237742 0.98885405 8.771941 0.8627450980392157 1.6123157 1.0359521
0.3 0.8 9.279807 1.3371453 17.98532 0.6862745098039216 3.4534671 1.0350618
0.3 2.75 3.1257002 1.2896943 3.7741218 0.8823529411764706 1.2181431 0.9490787
0.4 1.7 3.121288 0.8544065 4.921791 0.8823529411764706 1.6107731 1.0261495
0.4 0.7 9.890426 0.9222913 19.971277 0.7647058823529411 2.840308 1.1097233
0.4 2.5 2.0808916 0.9444153 2.5770156 0.9019607843137255 1.224174 1.0056723
0.4 2.75 2.2585788 0.85871315 3.0823483 0.9019607843137255 1.1949912 1.0124637
0.4 1.9 2.9504669 0.8509873 4.6195755 0.9215686274509803 1.1531644 1.0533515
0.3 3.0 2.802992 1.4170189 3.229241 0.8823529411764706 1.2641469 0.9755448
0.4 0.6 10.411405 1.0920737 20.993584 0.7450980392156863 2.9037914 1.083926
0.4 3.5 1.5775498 0.9218731 1.500932 0.8627450980392157 1.360062 1.1252542
0.4 0.5 19.472284 1.0377433 41.254314 0.7843137254901961 2.6769829 1.0215334
0.3 3.5 3.054715 1.5693679 3.6119661 0.8823529411764706 1.2597266 1.0338964
0.4 0.3 16.097435 1.1545866 33.5612 0.7254901960784313 3.0153723 1.1767675
0.3 4.75 2.5611804 1.5033387 2.3804717 0.8823529411764706 1.4479204 1.2095999
0.4 2.25 2.364228 0.92256415 3.2961242 0.9215686274509803 1.1874455 1.020256
0.4 3.0 1.8412814 0.89767313 2.0896308 0.9019607843137255 1.2514826 1.0647438
0.4 3.25 1.6520677 0.9171542 1.6869302 0.9215686274509803 1.3165869 1.057525
0.4 2.0 2.8778703 0.8725955 4.4755445 0.9215686274509803 1.1414813 1.0296481
0.2 3.0 7.4804688 2.579751 10.11333 0.8627450980392157 1.5528831 1.5780823
0.3 1.1 3.6986637 1.2562511 5.605546 0.7254901960784313 2.4599993 1.0603807
0.4 0.8 7.2621536 0.8410419 14.155 0.7843137254901961 1.8461851 1.0288072
0.4 5.0 1.4654388 1.0904924 0.9913524 0.8627450980392157 1.6137606 1.4108671
0.4 4.25 1.4997936 0.9946073 1.178083 0.8823529411764706 1.5152388 1.3376904
0.4 4.75 1.4613318 1.0573015 1.0209819 0.8627450980392157 1.5653139 1.3639723
0.5 0.1 14.253925 1.1127303 29.616156 0.7843137254901961 1.9623203 1.1933062
0.5 0.3 10.414506 0.9258094 21.224037 0.7843137254901961 1.8142929 1.2137363
0.4 4.5 1.4535702 1.0069555 1.0653164 0.8627450980392157 1.5497378 1.3637537
0.5 0.05 21.424545 1.1258894 45.653114 0.7843137254901961 1.8776764 1.1461904
0.5 0.2 8.253823 1.0011357 16.290394 0.7843137254901961 1.9015837 1.3455814
0.4 3.75 1.5664359 0.9478034 1.3862501 0.9019607843137255 1.4258834 1.2142539
0.3 2.25 2.9949558 1.376915 3.3009937 0.8627450980392157 1.2210666 0.9300771
0.5 0.5 4.8556542 0.80098116 8.903903 0.8627450980392157 1.5753368 1.4324884
0.4 4.0 1.5048741 0.955491 1.2315977 0.8823529411764706 1.4893522 1.294786
0.5 0.9 3.0586987 0.84128124 4.837702 0.8235294117647058 1.5970443 1.2445078
0.5 1.3 2.501064 0.8610609 3.6524968 0.8823529411764706 1.2851845 1.2304554
0.5 1.1 2.6494005 0.7658185 4.0476975 0.8823529411764706 1.261753 1.2051263
0.5 0.6 5.5357556 0.9644377 10.277999 0.7843137254901961 1.9088889 1.1412592
0.5 0.8 4.384082 0.82732964 7.8307104 0.8235294117647058 1.5135263 1.1222849
0.5 0.7 6.6802716 0.82182145 12.958329 0.8627450980392157 1.4626728 1.2067207
0.5 1.0 3.0078318 0.86038005 4.7228155 0.8431372549019608 1.4211454 1.2500061
0.5 1.2 3.0969985 0.89399934 4.9001694 0.8431372549019608 1.5014168 1.2192814
0.5 0.4 10.091126 0.958442 20.470406 0.8627450980392157 1.3030751 1.2830248
0.5 1.8 1.653021 0.8431027 1.8394797 0.9019607843137255 1.2687765 1.1346272
0.5 1.9 1.500308 0.8238902 1.5263671 0.9019607843137255 1.2946495 1.1033243
0.4 1.8 3.116747 0.88870704 4.9278116 0.9019607843137255 1.1847247 1.0546701
0.5 2.25 1.3841025 0.8308966 1.2517533 0.8823529411764706 1.3396863 1.1696873
0.5 1.7 1.6774162 0.82098097 1.919105 0.9019607843137255 1.2754023 1.1176947
0.5 2.75 1.2610074 0.8203886 0.9685079 0.8823529411764706 1.4068861 1.2148637
0.5 2.0 1.4936215 0.83878267 1.4867352 0.8823529411764706 1.2666686 1.1056639
0.5 3.25 1.203916 0.82465863 0.8125441 0.8431372549019608 1.4454159 1.3145924
0.5 2.5 1.3142892 0.81313217 1.1192274 0.8823529411764706 1.3588572 1.1507508
0.5 5.0 1.1550554 0.88433397 0.5889644 0.8627450980392157 1.5130596 1.4923408
0.6 0.6 3.1095793 0.8347548 5.003051 0.8823529411764706 1.3762326 1.4001359
0.5 4.25 1.1610168 0.8239306 0.65781534 0.8627450980392157 1.5021864 1.4775623
0.5 1.6 1.5717701 0.82848597 1.6471772 0.9215686274509803 1.2797974 1.1622541
0.6 0.8 1.9291545 0.8953055 2.3524091 0.8823529411764706 1.307599 1.1484237
0.6 1.0 1.9316669 0.8505194 2.4338708 0.9215686274509803 1.2526516 1.1924626
