lengthscale l2regularizer rmse_mean rmse_median rmse_std pi_cov pi_sum nll_mean nll_median nll_std
0.25 0.70 1.618485 1.511393 0.749974 0.941176 48 1.006390 0.929640 0.208965
0.25 0.75 1.535503 1.198931 0.896234 0.960784 49 0.989038 0.905757 0.183588
0.25 0.80 1.638643 1.341214 0.998950 0.941176 48 0.956260 0.923574 0.118709
0.25 0.85 1.632691 1.533954 0.853540 0.980392 50 0.952770 0.870355 0.204341
0.25 0.90 1.672995 1.374215 0.951589 0.960784 49 1.042999 1.020305 0.194473
0.25 0.95 1.982583 1.722749 1.020478 0.960784 49 1.040829 1.035075 0.195364
0.25 1.00 1.837042 1.660262 1.209760 0.921569 47 1.061018 0.969314 0.260731
0.30 0.05 1.638611 1.535686 0.929116 0.941176 48 1.143333 0.981100 0.485094
0.30 0.15 1.896392 1.711827 1.050400 0.941176 48 1.020354 0.907037 0.235437
0.30 0.20 1.563135 1.466776 0.808588 0.941176 48 1.051470 0.922707 0.303615
0.30 0.25 1.555838 1.216956 1.034943 0.921569 47 1.070914 0.963082 0.259665
0.30 0.30 1.789988 1.419552 1.127154 0.901961 46 1.069226 1.006133 0.236888
0.30 0.35 1.804336 1.852227 1.020645 0.921569 47 1.066819 0.924223 0.305294
0.30 0.40 1.720695 1.483595 1.000441 0.941176 48 1.112961 0.983111 0.318992
0.30 0.45 1.496857 1.395837 0.674353 0.921569 47 1.049811 0.961326 0.258557
0.30 0.50 1.645637 1.507616 0.872680 0.941176 48 0.940045 0.952719 0.107408
0.30 0.55 1.561779 1.396279 1.027076 0.980392 50 0.939710 0.936780 0.099687
0.30 0.60 1.601282 1.537189 0.898392 0.901961 46 1.076260 1.009361 0.242122
0.30 0.65 1.680296 1.545827 0.894203 0.960784 49 0.997502 0.884620 0.266611
0.30 0.70 1.536460 1.457529 0.745546 0.901961 46 1.090230 1.043720 0.262183
0.30 0.75 1.532711 1.167493 0.916034 0.941176 48 0.949974 0.854279 0.211711
0.30 0.80 1.730530 1.590475 1.146200 0.941176 48 0.969148 0.926768 0.164711
0.30 0.85 1.420138 1.477170 0.723604 0.960784 49 1.015164 0.970961 0.185607
0.30 0.90 1.700322 1.554116 0.961518 0.901961 46 1.050359 1.021510 0.232109
0.30 0.95 1.805909 1.982534 1.001186 0.921569 47 0.994435 0.994330 0.133906
0.30 1.00 1.863259 1.586611 1.095975 0.941176 48 1.091380 0.970296 0.295640
0.35 0.05 1.283250 1.028057 0.770031 0.941176 48 1.111778 1.046880 0.270800
0.35 0.10 1.389627 1.376464 0.744950 0.901961 46 1.103069 1.014427 0.322108
0.35 0.15 1.710999 1.295889 1.065277 0.901961 46 1.034176 0.921556 0.250613
0.35 0.20 1.613018 1.572362 0.838479 0.901961 46 1.075611 0.912266 0.300720
0.35 0.25 1.521059 1.379265 0.736746 0.960784 49 1.037240 1.074239 0.172632
0.35 0.30 1.431419 1.468737 0.737313 0.901961 46 1.117176 1.056868 0.262682
0.35 0.35 1.520438 1.379711 0.845019 0.960784 49 1.016131 0.878453 0.227077
0.35 0.40 1.601201 1.575769 0.865580 0.980392 50 1.000997 0.875792 0.234475
0.35 0.45 1.806037 1.438962 1.243939 0.921569 47 1.133642 1.021527 0.341380
0.35 0.50 1.529487 1.243036 0.800005 0.941176 48 1.037667 0.976591 0.217984
0.35 0.55 1.381994 1.265633 0.774532 0.941176 48 0.990719 0.927124 0.197223
0.35 0.60 1.579249 1.300839 0.875063 0.960784 49 1.058199 0.959581 0.237498
0.35 0.65 1.565683 1.460417 0.797427 0.921569 47 1.149771 1.102451 0.334510
0.35 0.70 1.358391 1.491339 0.631001 0.960784 49 0.989687 0.918422 0.189579
0.35 0.75 1.525646 1.468213 0.714183 0.941176 48 1.143225 0.978250 0.346461
0.35 0.80 1.646844 1.572100 1.049481 0.941176 48 1.031136 0.861973 0.272647
0.35 0.85 1.561193 1.289594 0.986382 0.941176 48 1.100355 0.861041 0.431081
0.35 0.90 1.546167 1.497070 1.015861 0.960784 49 1.036563 0.874849 0.279937
0.35 0.95 1.381549 1.373426 0.693766 0.960784 49 1.056964 0.977854 0.218507
0.35 1.00 1.436043 1.285255 0.715910 0.941176 48 0.981179 0.913786 0.175483
0.40 0.05 1.279696 1.118413 0.586413 0.960784 49 0.988126 0.942440 0.171896
0.40 0.10 1.424667 1.299313 0.579923 0.941176 48 1.082924 0.971092 0.258077
0.40 0.15 1.396723 1.279996 0.630633 0.941176 48 1.041499 1.053957 0.216202
0.40 0.20 1.266156 1.289149 0.509045 0.901961 46 1.033100 0.929695 0.238863
0.40 0.25 1.368359 1.303386 0.736201 0.941176 48 1.018438 0.918789 0.230111
0.40 0.30 1.462593 1.384762 0.708197 0.941176 48 1.019390 0.887747 0.265179
0.40 0.35 1.330002 1.165801 0.608228 0.921569 47 1.214871 0.931196 0.530853
0.40 0.40 1.406061 1.393166 0.646796 0.921569 47 1.030888 0.977394 0.200747
0.40 0.45 1.379861 1.148513 0.715645 0.941176 48 0.941207 0.846024 0.206006
0.40 0.50 1.448330 1.537510 0.796210 0.960784 49 1.010469 0.912149 0.211060
0.40 0.55 1.368709 1.287879 0.617366 0.941176 48 1.094863 1.091001 0.266608
0.40 0.60 1.596404 1.517644 1.085811 0.941176 48 1.001914 0.895106 0.199619
0.40 0.65 1.477831 1.337588 0.754060 0.941176 48 1.053148 0.977956 0.241714
0.40 0.70 1.313338 1.531618 0.624896 0.960784 49 1.040164 0.974435 0.225002
0.40 0.75 1.360591 1.363770 0.610705 0.941176 48 1.022626 0.961543 0.204958
0.40 0.80 1.332113 1.422411 0.544713 0.960784 49 0.961479 0.899034 0.158194
0.40 0.85 1.302874 1.189787 0.553181 0.921569 47 1.107537 1.096108 0.264783
0.40 0.90 1.381324 1.310914 0.796778 0.960784 49 0.974113 0.898118 0.179984
0.40 0.95 1.419305 1.428881 0.563659 0.941176 48 1.043230 0.987055 0.203139
0.40 1.00 1.484108 1.441957 0.682987 0.941176 48 0.966876 0.905443 0.173131
0.45 0.05 1.320388 1.364658 0.676893 0.960784 49 1.051192 1.044787 0.180423
0.45 0.10 1.365016 1.187023 0.654481 0.960784 49 0.946610 0.860602 0.196582
